fips,display_name,Age65Plus,AIAN,AIANmen,AIANwomen,ANHPI,ANHPImen,ANHPIwomen,Black,BlackMen,BlackWomen,Hispanic,HispanicMen,HispanicWomen,OtherRace,OtherRaceMen,OtherRaceWomen,PopAllGenders,PopMen,PopWomen,pop,TwoPlus,TwoPlusMen,TwoPlusWomen,White,WhiteMen,WhiteWomen,bpmUse,CholScreen,CholMedNonAdhear,CholMedElegible,cruParticipate,Hospitals,HospCIC,HospCR,HospED,Pharmacies,HealthIns,CardioPhys,PrimaryCarePhys,CHD,HighBP,Stroke,Diabetes,HighChol,Obesity,PhysInactivity,Smoker,AirQuality,Parks,Broadband,EdLessColl,SNAPrecipients,MedHomeValue,MedHouseIncome,Poverty,Unemploy,UrbanRural
02013,"""Aleutians East, (AK)""",11.2,1090,607,483,798,373,425,129,119,10,284,180,104,175,91,84,2946,1717,1229,3389,277,182,95,434,315,119,67,79.4,-1,-1,-1,0,0,0,0,0,23.3,-1,-1,5.9,34.1,3.1,9.9,31.2,27.2,21.5,18.5,-1,66,42.1,83.4,2.6,137000,79000,15.1,2.3,4
02016,"""Aleutians West, (AK)""",7.5,465,249,216,2169,1351,818,167,147,20,447,308,139,281,189,92,4691,3119,1572,5708,293,206,87,1200,877,323,63.2,80.2,-1,-1,-1,0,0,0,0,0,17.7,-1,2.8,4.6,30.3,2.3,9.3,30.3,25.4,20,16.7,-1,86,21,83,1.4,317000,92000,8.1,3.6,4
02020,"""Anchorage, (AK)""",11.1,15672,6555,9117,26122,11599,14523,11790,6228,5562,17819,9175,8644,5111,2733,2378,221182,112576,108606,292090,17178,9064,8114,135989,71495,64494,64,80.4,15.3,16.7,26.1,4,1,1,1,5.8,11.1,14.4,0.8,4.9,28.8,2.5,8.3,29.4,29.8,17.9,15.7,6.4,83,8,63.4,9.7,320000,85000,8.3,5.8,3
02050,"""Bethel, (AK)""",7.4,9390,4848,4542,221,95,126,139,103,36,184,81,103,44,0,44,11755,6116,5639,18263,472,259,213,1441,787,654,64.1,74.2,27.8,12.2,-1,1,0,0,0,0,16.8,-1,0.9,8.1,36.2,5.1,8.8,28.7,23.8,22,34,-1,76,26.6,88.7,37.7,89000,52000,25.3,13.1,4
02060,"""Bristol Bay, (AK)""",11.6,187,101,86,26,0,26,4,4,0,41,26,15,15,13,2,596,342,254,739,28,16,12,312,193,119,68.6,82.1,-1,-1,-1,0,0,0,0,0,15.1,-1,-1,7.5,33.6,3.7,9.2,32.3,24.6,20.9,17.8,-1,30,19,74.2,6.5,222000,87000,10.7,5.6,4
02068,"""Denali, (AK)""",10.5,35,10,25,51,18,33,54,40,14,37,37,0,10,10,0,2242,1238,1004,2502,269,228,41,1817,926,891,66.6,81.2,-1,-1,-1,0,0,0,0,0,11.5,-1,-1,5.7,30.9,2.7,6.7,30.9,20.6,16.7,17.4,-1,59,14.9,60.9,3.5,234000,80000,6.4,10.1,4
02070,"""Dillingham, (AK)""",11.3,2441,1267,1174,19,9,10,74,11,63,80,61,19,27,15,12,3392,1775,1617,4934,169,90,79,622,348,274,66.2,78,-1,-1,-1,0,0,0,0,0,15.5,-1,0.4,7.7,35.1,4.5,8.6,29.3,23.5,22.6,28.4,-1,37,27.1,80.6,20.5,156000,72000,18.7,8.2,4
02090,"""Fairbanks North Star, (AK)""",10.4,5131,2411,2720,3059,1544,1515,3786,2296,1490,5528,3109,2419,1089,591,498,74747,41005,33742,98455,4585,2410,2175,53770,29934,23836,62.2,78.8,15.7,13,46.9,2,1,1,1,6.3,11.3,48.4,1.1,4.7,28,2.3,8,27.5,28.4,20.4,15.7,13.9,36,12.9,67.7,6.5,240000,77000,7.2,5,3
02100,"""Haines, (AK)""",23,96,46,50,43,26,17,0,0,0,69,66,3,1,0,1,1688,949,739,2547,155,155,0,1329,660,669,73.8,85.3,16.2,15.2,-1,0,0,0,0,0,12.6,-1,0.4,8.2,36.7,3.8,7.8,34.5,25.5,16.8,17.1,-1,90,13.6,72.3,4.3,264000,105000,9.6,11.3,4
02105,"""Hoonah-Angoon, (AK)""",22.6,586,344,242,49,19,30,68,68,0,147,109,38,21,0,21,1858,1033,825,2135,170,88,82,899,450,449,74.4,85,-1,20.5,-1,0,0,0,0,0,20,-1,-1,9.7,40.9,4.7,8.6,35.8,22.2,19.8,20.5,-1,97,39.1,80.4,14.4,222000,56000,12.7,9.3,4
