fips,Age65Plus,AIAN,AIANmen,AIANwomen,ANHPI,ANHPImen,ANHPIwomen,Black,BlackMen,BlackWomen,Hispanic,HispanicMen,HispanicWomen,OtherRace,OtherRaceMen,OtherRaceWomen,PopAllGenders,PopMen,PopWomen,pop,TwoPlus,TwoPlusMen,TwoPlusWomen,White,WhiteMen,WhiteWomen,bpmUse,CholScreen,CholMedNonAdhear,CholMedElegible,cruParticipate,Hospitals,HospCIC,HospCR,HospED,Pharmacies,HealthIns,CardioPhys,CHD,HighBP,Stroke,Diabetes,HighChol,Obesity,PhysInactivity,Smoker,AirQuality,Parks,Broadband,EdLessColl,SNAPrecipients,MedHomeValue,MedHouseIncome,Poverty,Unemploy,UrbanRural,county,state,pcp,IsRural,CHD_Class,region
34027,17.1,446,213,233,39922,19200,20722,13116,6312,6804,48726,24436,24290,9582,5226,4356,388599,188593,200006,492715,11393,5346,6047,281197,135988,145209,71.71,79.43,14.7,15.5,30.2,3,1,2,2,15.9,5.7,7.5,5.7,33.7,2.4,17.4,32.41,33.59,23.03536389868548,9.4,6.0,46.0,7.3,44.7,2.5,462000,114000.0,4.7,5.0,LargeFringe_Urban,Morris,NJ,1.0,False,Low,Northeast
34025,17.7,781,508,273,26636,12508,14128,33615,15605,18010,45005,22805,22200,11183,5822,5361,489232,235128,254104,620821,12357,5977,6380,378171,181434,196737,71.71,79.43,16.0,17.1,31.8,5,1,5,5,19.4,7.1,10.5,6.2,33.7,2.7,17.4,32.41,33.59,23.03536389868548,10.8,8.9,37.0,9.4,52.7,4.5,435000,104000.0,5.9,5.5,LargeFringe_Urban,Monmouth,NJ,0.8,False,Low,Northeast
34017,12.0,2619,1539,1080,88314,44162,44152,63097,29672,33425,218250,106318,111932,64987,32744,32243,534558,264296,270262,671923,37575,17719,19856,162632,83244,79388,71.71,79.43,21.7,18.9,10.6,6,1,1,3,25.7,13.5,20.4,4.8,33.7,2.4,17.4,32.41,33.59,23.03536389868548,12.3,9.6,75.0,12.4,56.0,13.1,401000,77000.0,13.1,6.8,Large_Urban,Hudson,NJ,1.8,False,Low,Northeast
34041,18.1,135,75,60,2178,1107,1071,3878,1964,1914,7198,3668,3530,1475,836,639,84879,41244,43635,105730,2346,1072,1274,70509,34033,36476,71.71,79.43,14.2,23.5,28.1,2,0,2,2,14.6,7.6,105.3,6.7,33.7,2.9,17.4,32.41,33.59,23.03536389868548,13.3,9.3,48.0,11.8,65.5,6.1,266000,80000.0,7.3,5.5,MediumSmall_Urban,Warren,NJ,1.6,False,Low,Northeast
34039,14.5,1425,865,560,23289,10781,12508,92839,42103,50736,127755,64190,63565,61235,31378,29857,424832,204856,219976,555208,18307,8602,9705,175027,84974,90053,71.71,79.43,18.1,12.7,21.3,3,3,3,3,17.8,12.6,13.6,5.8,33.7,2.9,17.4,32.41,33.59,23.03536389868548,12.1,10.3,75.0,13.3,62.9,7.1,379000,83000.0,9.2,6.7,Large_Urban,Union,NJ,1.5,False,Low,Northeast
34037,17.4,38,38,0,2328,1044,1284,2399,1327,1072,8795,4349,4446,1341,731,610,113166,55985,57181,140996,2835,1351,1484,98062,48477,49585,71.71,79.43,15.0,16.2,25.1,1,0,1,1,11.8,5.7,17.6,6.5,33.7,2.7,17.4,32.41,33.59,23.03536389868548,12.9,8.3,52.0,9.1,63.4,2.6,272000,93000.0,5.4,5.9,LargeFringe_Urban,Sussex,NJ,2.1,False,Low,Northeast
34035,15.8,521,270,251,45171,21533,23638,25052,11578,13474,34525,17447,17078,9739,5113,4626,257804,124204,133600,330151,7374,3730,3644,149627,71813,77814,71.71,79.43,15.1,13.7,25.2,1,0,1,1,14.5,6.6,8.4,5.5,33.7,2.4,17.4,32.41,33.59,23.03536389868548,9.2,9.3,33.0,6.6,44.4,2.8,437000,116000.0,4.8,5.1,LargeFringe_Urban,Somerset,NJ,0.8,False,Low,Northeast
34033,18.6,253,130,123,493,221,272,6381,2930,3451,3755,2023,1732,1065,726,339,49260,23775,25485,62754,1013,541,472,37859,18273,19586,71.71,79.43,13.7,18.1,18.3,2,1,1,1,12.3,8.5,62.4,7.7,33.7,3.7,17.4,32.41,33.59,23.03536389868548,16.9,9.4,40.0,16.8,78.3,11.8,186000,66000.0,12.2,7.3,LargeFringe_Urban,Salem,NJ,2.8,False,Medium,Northeast
34031,14.6,1036,592,444,21037,9919,11118,42944,19086,23858,149770,73522,76248,57205,28647,28558,382872,184045,198827,502763,22681,10756,11925,167005,80323,86682,71.71,79.43,18.6,17.5,25.4,2,1,1,1,23.5,14.2,12.2,6.4,33.7,3.1,17.4,32.41,33.59,23.03536389868548,13.1,7.4,93.0,13.7,70.5,18.0,352000,64000.0,16.9,8.4,LargeFringe_Urban,Passaic,NJ,1.7,False,Low,Northeast
34029,22.6,516,215,301,9138,4079,5059,14906,7189,7717,36926,18746,18180,10191,5306,4885,457058,216361,240697,602018,8893,4631,4262,391609,184042,207567,71.71,79.43,14.5,19.8,28.4,4,0,4,3,13.6,7.2,18.4,7.8,33.7,3.4,17.4,32.41,33.59,23.03536389868548,14.0,6.6,43.0,16.0,68.6,7.7,287000,78000.0,10.5,6.0,LargeFringe_Urban,Ocean,NJ,2.4,False,Medium,Northeast
